"","Y01","Y02","Y03","Y04","Y05","Y06","Y07","Y08","Y09","Y10","Y11","Y12","Y13","Y14","Y15"
"otu1435",0,0,0,0,0,0,0,0,0,0,0,0,3,17,2
"otu881",0,0,0,0,0,0,0,0,0,1,1,16,18,58,7
"otu878",0,0,0,0,1,0,0,0,0,0,0,3,16,58,8
"otu2432",0,0,0,0,0,0,0,0,0,0,0,0,1,4,0
"otu16150",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"otu389",0,0,0,0,0,0,1,0,3,10,22,121,107,244,28
"otu5187",0,0,0,0,0,0,0,0,0,0,0,4,2,12,0
"otu441",0,0,0,0,1,0,0,0,1,5,23,98,119,369,30
"otu6813",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"otu14092",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"otu4405",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"otu1061",0,0,0,0,0,0,0,0,0,1,0,8,11,23,5
"otu11473",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"otu827",0,0,0,0,0,0,0,0,0,1,2,7,17,85,2
"otu2566",0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
"otu3154",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"otu1788",0,0,0,0,0,0,0,0,0,0,0,0,2,12,2
"otu894",1,0,0,0,0,0,0,0,0,0,1,14,16,44,5
"otu3231",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"otu10665",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"otu758",0,0,0,0,0,0,0,0,0,1,4,29,43,131,22
"otu9545",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"otu6567",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"otu7083",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"otu15146",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"otu11454",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"otu970",0,0,0,0,0,0,0,0,1,0,2,9,38,53,12
"otu14340",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"otu8783",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"otu6785",0,0,0,0,0,0,0,0,0,1,1,2,3,30,2
"otu7255",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"otu12222",0,0,0,0,0,0,0,0,0,0,0,7,3,4,0
"otu7556",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"otu6783",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"otu7526",0,0,0,0,0,0,0,0,0,0,5,25,11,21,2
"otu184",0,0,1,0,1,0,0,3,36,377,296,685,388,1255,116
"otu10664",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"otu11815",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"otu5184",0,0,0,0,0,0,0,0,0,1,0,2,0,1,0
"otu7468",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"otu7085",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"otu3041",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"otu15219",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"otu848",0,0,0,0,0,0,0,0,1,0,0,7,27,52,11
"otu12081",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
