"","Domain","Phylum","Class","Order","Family","Genus","Species"
"otu13787","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu14027","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu15931","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu15829","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae",NA,NA
"otu15964","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu15888","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae",NA,NA
"otu12617","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu10821","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu9135","Bacteria","Proteobacteria","Betaproteobacteria",NA,NA,NA,NA
"otu15109","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu9212","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu14386","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae",NA,NA
"otu4460","Bacteria","Proteobacteria","Betaproteobacteria",NA,NA,NA,NA
"otu12587","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu15044","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu10943","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae",NA,NA
"otu14301","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu11436","Bacteria","Proteobacteria","Betaproteobacteria",NA,NA,NA,NA
"otu14398","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu11875","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae",NA,NA
"otu9480","Bacteria","Proteobacteria","Betaproteobacteria",NA,NA,NA,NA
"otu13782","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu7542","Bacteria","Proteobacteria","Betaproteobacteria",NA,NA,NA,NA
"otu13701","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu12242","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu15851","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu12134","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu13652","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu5006","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae",NA,NA
"otu10814","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu15827","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu10007","Bacteria","Proteobacteria","Betaproteobacteria",NA,NA,NA,NA
"otu10901","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu14590","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae",NA,NA
"otu14819","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu9238","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu10892","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu8989","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu14757","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu14943","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu8080","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu14004","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu11635","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu12725","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu6979","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu14401","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu12006","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu9965","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae",NA,NA
"otu9529","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu9146","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu14822","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu15944","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu14627","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu10935","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu12117","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu7043","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu11851","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu11767","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu12691","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu9131","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu10648","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu12785","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu15797","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu10313","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu15890","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu11183","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu11667","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu14839","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae",NA,NA
"otu15043","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae",NA,NA
"otu10068","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu13846","Bacteria","Proteobacteria","Betaproteobacteria",NA,NA,NA,NA
"otu9531","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu13799","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu13696","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured","uncultured Thiobacillus sp."
"otu16170","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu15327","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu10211","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu4345","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu15928","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu14854","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu12682","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu5281","Bacteria","Proteobacteria","Betaproteobacteria",NA,NA,NA,NA
"otu15640","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae",NA,NA
"otu14650","Bacteria","Proteobacteria","Betaproteobacteria",NA,NA,NA,NA
"otu14571","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae",NA,NA
"otu15237","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae",NA,NA
"otu11189","Bacteria","Proteobacteria","Betaproteobacteria",NA,NA,NA,NA
"otu12207","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu15678","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu12237","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu13945","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu11928","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu16172","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu8174","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu5296","Bacteria","Proteobacteria","Betaproteobacteria",NA,NA,NA,NA
"otu9085","Bacteria","Proteobacteria","Betaproteobacteria",NA,NA,NA,NA
"otu12763","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae",NA,NA
"otu1067","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured","uncultured Thiobacillus sp."
"otu2132","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu11885","Bacteria","Proteobacteria","Betaproteobacteria",NA,NA,NA,NA
"otu12251","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu14465","Bacteria","Proteobacteria","Betaproteobacteria",NA,NA,NA,NA
"otu15168","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu11629","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu15954","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu15897","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae",NA,NA
"otu12208","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu5272","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae",NA,NA
"otu15843","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu15899","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu13774","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae",NA,NA
"otu11410","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu14881","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu10789","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu14530","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","uncultured",NA
"otu15731","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae",NA,NA
"otu3765","Bacteria","Proteobacteria","Betaproteobacteria",NA,NA,NA,NA
"otu8397","Bacteria","Proteobacteria","Betaproteobacteria","uncultured","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"otu1252","Bacteria","Proteobacteria","Betaproteobacteria",NA,NA,NA,NA
"otu6914","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","uncultured",NA
"otu15611","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","uncultured","uncultured Xanthomonas sp."
"otu2568","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","uncultured","uncultured prokaryote"
"otu1984","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Methyloversatilis","uncultured bacterium"
"otu1515","Bacteria","Proteobacteria","Betaproteobacteria","B1-7BS","Ambiguous_taxa","Ambiguous_taxa","Ambiguous_taxa"
"otu9117","Bacteria","Proteobacteria","Betaproteobacteria","B1-7BS",NA,NA,NA
"otu2155","Bacteria","Proteobacteria","Betaproteobacteria","B1-7BS","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"otu562","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","uncultured",NA
"otu4394","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales",NA,NA,NA
"otu712","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","uncultured","uncultured bacterium"
"otu88","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","uncultured",NA
"otu14147","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","uncultured","uncultured Burkholderiaceae bacterium"
"otu8102","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","uncultured","uncultured Burkholderiaceae bacterium"
"otu16066","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","uncultured",NA
"otu6601","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","uncultured",NA
"otu16463","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","uncultured",NA
"otu759","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","uncultured","Ambiguous_taxa"
"otu3462","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","uncultured","uncultured Burkholderiaceae bacterium"
"otu10236","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","uncultured","Ambiguous_taxa"
"otu603","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","uncultured",NA
"otu3491","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","uncultured","uncultured beta proteobacterium"
"otu1183","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","uncultured","uncultured Burkholderiaceae bacterium"
"otu1714","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","uncultured","uncultured Burkholderiales bacterium"
"otu12525","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","uncultured","uncultured Burkholderiaceae bacterium"
"otu780","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","uncultured",NA
"otu2934","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","uncultured",NA
"otu5509","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","uncultured",NA
"otu3983","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","uncultured","uncultured Burkholderiaceae bacterium"
"otu2235","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","uncultured",NA
"otu711","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","uncultured",NA
"otu9270","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","uncultured","uncultured Burkholderiaceae bacterium"
"otu13591","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","uncultured","uncultured Burkholderiales bacterium"
"otu13145","Bacteria","Proteobacteria","Betaproteobacteria",NA,NA,NA,NA
"otu2422","Bacteria","Proteobacteria","Betaproteobacteria","TRA3-20","uncultured gamma proteobacterium","uncultured gamma proteobacterium","uncultured gamma proteobacterium"
"otu2468","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA
"otu3777","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","Ferritrophicum","uncultured bacterium"
"otu7409","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","OM43 clade","uncultured beta proteobacterium"
"otu86","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","Candidatus Methylopumilus","uncultured bacterium"
"otu9782","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","OM43 clade",NA
"otu16521","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","OM43 clade",NA
"otu7916","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae",NA,NA
"otu14263","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","OM43 clade",NA
"otu12455","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","OM43 clade","uncultured beta proteobacterium"
"otu6077","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","OM43 clade","uncultured beta proteobacterium"
"otu9928","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","OM43 clade","uncultured Methylophilaceae bacterium"
"otu13195","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","OM43 clade",NA
"otu5939","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","Candidatus Methylopumilus","uncultured bacterium"
"otu10478","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","uncultured",NA
"otu1429","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Polynucleobacter",NA
"otu7670","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Polynucleobacter","Ambiguous_taxa"
"otu9698","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Polynucleobacter","Ambiguous_taxa"
"otu4936","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Polynucleobacter",NA
"otu13515","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Polynucleobacter","uncultured Polynucleobacter sp."
"otu13309","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Polynucleobacter",NA
"otu5812","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Polynucleobacter","Ambiguous_taxa"
"otu13333","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Polynucleobacter","uncultured Polynucleobacter sp."
"otu10608","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Polynucleobacter",NA
"otu281","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Polynucleobacter",NA
"otu11051","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Polynucleobacter","uncultured Polynucleobacter sp."
"otu4947","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Polynucleobacter",NA
"otu15195","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Polynucleobacter","Ambiguous_taxa"
"otu6057","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Polynucleobacter",NA
"otu8283","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Polynucleobacter","uncultured Polynucleobacter sp."
"otu8488","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Polynucleobacter",NA
"otu12169","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Polynucleobacter","uncultured beta proteobacterium"
"otu10142","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Polynucleobacter","Ambiguous_taxa"
"otu973","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales",NA,NA,NA
"otu7903","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Paludibacterium","Ambiguous_taxa"
"otu3663","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Propionivibrio","uncultured bacterium"
"otu6844","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Undibacterium","uncultured bacterium"
"otu7985","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae",NA,NA
"otu8673","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Verticia","Ambiguous_taxa"
"otu15654","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","GKS98 freshwater group","uncultured bacterium"
"otu129","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","GKS98 freshwater group","uncultured bacterium"
"otu6473","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","GKS98 freshwater group","uncultured bacterium"
"otu4428","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","GKS98 freshwater group","uncultured bacterium"
"otu7300","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae",NA,NA
"otu1359","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Limnobacter","uncultured bacterium"
"otu841","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Lautropia","Ambiguous_taxa"
"otu8491","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Limnobacter","uncultured beta proteobacterium"
"otu8688","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Limnobacter",NA
"otu2599","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","uncultured","uncultured bacterium"
"otu2154","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","uncultured","uncultured prokaryote"
"otu1386","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","uncultured","uncultured beta proteobacterium"
"otu5443","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","uncultured","uncultured beta proteobacterium"
"otu4138","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","uncultured",NA
"otu1128","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","uncultured",NA
"otu10560","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","uncultured",NA
"otu10327","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales",NA,NA,NA
"otu5093","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Lautropia","Ambiguous_taxa"
"otu13087","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales",NA,NA,NA
"otu6976","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales",NA,NA,NA
"otu895","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales",NA,NA,NA
"otu15359","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA
"otu6396","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA
"otu16496","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA
"otu7174","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Ambiguous_taxa","Ambiguous_taxa"
"otu1095","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Ambiguous_taxa","Ambiguous_taxa"
"otu14794","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae",NA,NA
"otu1156","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","Ambiguous_taxa"
"otu3123","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Duganella","uncultured bacterium"
"otu2852","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA
"otu15425","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Ambiguous_taxa","Ambiguous_taxa"
"otu6594","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Derxia","Ambiguous_taxa"
"otu10300","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Derxia","Ambiguous_taxa"
"otu15249","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA
"otu5874","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA
"otu16647","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","uncultured",NA
"otu14495","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA
"otu2603","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","uncultured","Ambiguous_taxa"
"otu1374","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Ralstonia",NA
"otu9652","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA
"otu5081","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA
